text,label
"Loved it. Works exactly as described.",1
"Absolutely terrible; it broke immediately.",0
"Great quality and fast shipping.",1
"Not worth the money. Very disappointing.",0
"I would buy this again.",1
"The product arrived damaged and unusable.",0
"Excellent support and a smooth experience.",1
"This was a frustrating experience overall.",0
"Solid performance and easy setup.",1
"Poor build quality; stopped working quickly.",0
"Happy with the purchase.",1
"Would not recommend to anyone.",0
